uuid,latitude,longitude,location_name,street_address,city,state,zip,phone
0,33.379568,-86.802811,Bed Bath & Beyond #0098,1771 Montgomery Highway,Hoover,AL,35244,(205) 987-0106
1,32.321282,-110.973189,Bed Bath & Beyond #0766,6310 N Oracle Road,Tucson,AZ,85704,(520) 544-3745
2,33.432593,-111.869695,Bed Bath & Beyond #1162,837 North Dobson Road,Mesa,AZ,85201,(480) 610-2675
3,38.410432,-122.714829,Bed Bath & Beyond #0024,2785 Santa Rosa Ave,Santa Rosa,CA,95407,(707) 591-0990
4,33.87268,-117.734194,Bed Bath & Beyond #0186,23041 Savi Ranch Pkwy,Yorba Linda,CA,92887,(714) 637-6122
5,33.90961,-117.461132,Bed Bath & Beyond #0538,3700 Tyler Street Suite 14,Riverside,CA,92503,(951) 509-5620
6,38.9341,-104.793363,Bed Bath & Beyond #0200,1790 East Woodmen Road,Colorado Springs,CO,80920,(719) 265-5795
7,39.616517,-104.814895,Bed Bath & Beyond #0436,5560 South Parker Road,Aurora,CO,80015,(303) 690-5600
8,26.006434,-80.302162,Bed Bath & Beyond #0146,11470 Pines Blvd.,Pembroke Pines,FL,33026,(954) 442-6553
9,27.267619,-80.426019,Bed Bath & Beyond #1195,10856 Sw Village Parkway,Port St Lucie,FL,34987,(772) 345-2420
10,33.958925,-84.137377,Bed Bath & Beyond #0080,3675 Satellite Blvd.,Duluth,GA,30096,(770) 495-8255
11,41.564402,-93.801004,Bed Bath & Beyond #0827,6805 Mills Civic Parkway Suite 120, West Desmoines,IA,50266,(515)440-6533
12,42.162492,-88.050281,Bed Bath & Beyond #0415,20505 N Rand Road Suite 100,Kildeer,IL,60047,(847) 540-2343
13,41.473186,-87.305811,Bed Bath & Beyond #0096,2520 E. 79th Ave.,Merrillville,IN,46410,(219) 947-5280
14,39.010295,-94.764651,Bed Bath & Beyond #0176,15400 Shawnee Mission Parkway,Shawnee,KS,66217,(913) 268-4448
15,42.523436,-82.922616,Bed Bath & Beyond #0166,30801 Gratoit Road,Roseville,MI,48066,(586) 294-4100
16,42.521015,-83.224979,Bed Bath & Beyond #0295,31535 Southfield Road,Beverly Hills,MI,48025,(248) 723-8299
17,39.042543,-94.345352,Bed Bath & Beyond #0107,19950 East Jackson Drive ,Independence,MO,64057,(816) 795-7717
18,35.703781,-81.309519,Bed Bath & Beyond #0440,1835 Catawba Valley Blvd Se,Hickory,NC,28602,(828) 267-5731
19,35.858243,-78.703614,Bed Bath & Beyond #1067,6270 Glenwood Ave,Raleigh,NC,27612,(919) 787-1219
20,40.809827,-74.378286,Bed Bath & Beyond #0159,180 Route 10 West,East Hanover,NJ,07936,(973) 884-4287
21,36.065222,-115.038092,Bed Bath & Beyond #0422,621 Marks Street,Henderson,NV,89014,(702) 450-2288
22,36.197572,-115.238356,Bed Bath & Beyond #0485,2100 N Rainbow Blvd Suite 110,Las Vegas,NV,89108,(702) 646-2219
23,40.797244,-73.670749,Bed Bath & Beyond #0105,2103 Northern Boulevard,Manhasset,NY,11030,(516) 365-3965
24,39.149624,-84.445317,Bed Bath & Beyond #0301,2719 Edmondson Road,Cincinnati,OH,45209,(513) 731-5170
25,45.506295,-122.439592,Bed Bath & Beyond #0346,719 Nw 12th Street,Gresham,OR,97030,(503) 669-8888
26,45.538123,-122.86039,Bed Bath & Beyond #0431,18043 Nw Evergreen Parkway ,Hillsboro,OR,97006,(503) 466-0775
27,44.583524,-123.257014,Bed Bath & Beyond #0478,1725 Nw 9th Street,Corvallis,OR,97330,(541) 754-2262
28,40.542374,-80.013965,Bed Bath & Beyond #0153,7507 Mcknight Road,Pittsburgh,PA,15237,(412) 358-8510
29,40.001599,-75.272087,Bed Bath & Beyond #0161,70 E Wynnewood Blvd.,Wynnewood,PA,19096,(610) 642-9296
30,40.04024,-75.369522,Bed Bath & Beyond #0353,550 E. Lancaster Avenue,Radnor,PA,19087,(610) 687-9886
31,35.947353,-86.822956,Bed Bath & Beyond #0339,535 Cool Springs Boulevard Suite #150,Franklin,TN,37067,(615) 771-5646
32,36.199598,-86.692861,Bed Bath & Beyond #1363,211 Opry Mills Drive ,Nashville,TN,37214,(615) 800-6539
33,30.383732,-97.738685,Bed Bath & Beyond #0084,9333 Research Blvd Suite A-4,Austin,TX, 78759,(512) 418-8232
34,30.013846,-95.260634,Bed Bath & Beyond #0116,20514 Highway 59 N.,Humble,TX,77338,(281) 548-3720
35,29.495583,-98.481207,Bed Bath & Beyond #0141,255 East Basse Road Suite 1500,San Antonio,TX,78209,(210) 826-6719
36,29.737535,-95.419412,Bed Bath & Beyond #0442,3102 Kirby Drive,Houston,Tx,77098,(713) 533-0946
37,32.877408,-97.096195,Bed Bath & Beyond #1212,2800 Highway 121 Suite 600,Euless,TX,76039,(817) 545-0130
38,37.645919,-77.568985,Bed Bath & Beyond #0156,10050 West Broad Street,Glen Allen,VA,23060,(804) 935-0600
39,47.151909,-122.295218,Bed Bath & Beyond #0417,4102 D South Meridian Street,Puyallup,WA,98373,(253) 848-4616
